time_(min),total_defence_exp,dedlta_def_exp,def_exp_gained,delta_hp_exp,hp_exp_gained
0,129817,0,0,0,0
10,130085,268,268,89.11,89.11
20,130297,212,480,70.49,159.6
30,130497,200,680,66.5,226.1
40,130693,196,876,65.17,291.27
50,130869,176,1052,58.52,349.79
60,131093,224,1276,74.48,424.27
70,131313,220,1496,73.15,497.42
80,131505,192,1688,63.84,561.26
90,131745,240,1928,79.8,641.06
100,131949,204,2132,67.83,708.89
110,132153,204,2336,67.83,776.72
120,132353,200,2536,66.5,843.22
130,132597,244,2780,81.13,924.35
140,132821,224,3004,74.48,998.83
150,133045,224,3228,74.48,1073.31
160,133237,192,3420,63.84,1137.15
170,133461,224,3644,74.48,1211.63
180,133685,224,3868,74.48,1286.11
